PRODUTO;UNIDADE;ANO;REGIAO;ESTADO;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL
TERRA;b;1997;REGIAO NORTE;AMAZONAS;768614,782;784873,9409;806208,9764;786024,9761;727793,9151;832242,5;864326,8208;826801,8143;514210,8369;282028,7906;398673,317;861590,7534;8453391,423
TERRA;b;1997;REGIAO NORDESTE;CEARA;91629,95208;98473,26536;97120,95621;90359,41046;98353,75897;97850,57417;94818,88575;98347,46916;96076,84775;96919,68229;92309,25156;93781,0671;1146041,121
TERRA;b;1997;REGIAO NORDESTE;RIO GRANDE DO NORTE;2485877,578;2443320,723;2499759,188;2463705,997;2372629,549;2475537,13;2549756,888;2548303,942;2476096,923;2598138,107;2503294,062;2590590,335;30007010,42
TERRA;b;1997;REGIAO NORDESTE;ALAGOAS;97221,59317;104882,5818;104656,1486;100875,9728;116191,6601;117292,3769;131161,4079;144099,5471;137690,2307;147483,4649;129695,8822;125091,7413;1456342,607
TERRA;b;1997;REGIAO NORDESTE;SERGIPE;776495,9139;782037,2365;800365,7429;762010,4815;778414,306;773149,735;793849,4997;797830,9495;744386,4339;790849,2604;780879,9115;808297,1933;9388566,664
TERRA;b;1997;REGIAO NORDESTE;BAHIA;1558489,122;1517316,026;1569477,42;1500308,379;1517863,239;1495100,417;1541185,854;1569502,579;1511265,228;1541594,692;1491320,241;1540839,915;18354263,11
TERRA;b;1997;REGIAO SUDESTE;ESPIRITO SANTO;229999,4823;238314,6111;257655,7768;240861,9841;225426,7904;234226,2346;239144,866;235251,4736;227684,8322;236534,5949;231917,8743;236100,598;2833119,118
TERRA;b;1998;REGIAO NORTE;AMAZONAS;923601,9902;838003,9659;986978,1158;954969,2727;1008149,616;976543,321;1048366,661;1051782,028;1044215,387;1038894,208;978455,4232;1044221,677;11894181,67
TERRA;b;1998;REGIAO NORDESTE;CEARA;94818,88575;88227,16487;88441,01841;91007,26089;100592,9313;93623,82185;95064,18834;102328,9189;94145,87608;101517,5334;103712,6771;116990,466;1170470,743
TERRA;b;1998;REGIAO NORDESTE;RIO GRANDE DO NORTE;2556461,825;2314863,934;2620944,958;2575431,892;2674288,836;2610239,701;2710008,667;2676333,024;2619554,91;2754534,232;2683786,449;2724431,202;31520879,63
TERRA;b;1998;REGIAO NORDESTE;ALAGOAS;122839,9893;113877,0101;131085,9302;133639,5931;137526,6957;132966,5834;131702,3316;128978,8439;120588,2373;131702,3316;130236,8059;135400,7399;1550545,092
TERRA;b;1998;REGIAO NORDESTE;SERGIPE;794044,4838;702716,4426;772464,1457;739964,6975;759777,599;738738,1845;751292,6453;743870,6695;730083,4059;774395,1174;735404,5852;764130,1475;9006882,124
TERRA;b;1998;REGIAO NORDESTE;BAHIA;1552627,019;1416968,397;1561099,393;1496169,684;1530864,276;1468230,348;1531996,442;1511869,05;1465462,832;1515473,111;1467437,832;1514668,016;18032866,4
TERRA;b;1998;REGIAO SUDESTE;ESPIRITO SANTO;258850,8407;234081,569;248755,6957;238515,885;237295,6619;220891,8374;260662,306;257687,2259;285871,8645;304558,89;326894,0053;371098,79;3245164,571
TERRA;b;1999;REGIAO NORTE;AMAZONAS;1012219,123;939049,7636;1045812,999;996249,2957;1062348,909;1030207,98;1066613,4;1036038,634;1016546,513;1082841,11;1038277,806;1096439,679;12422645,21
TERRA;b;1999;REGIAO NORDESTE;CEARA;109172,2322;95057,89853;97435,44671;93076,60838;89592,05364;92460,207;90132,9773;92994,84085;90428,59837;86340,22187;68231,85888;78169,75868;1083092,702
TERRA;b;1999;REGIAO NORDESTE;RIO GRANDE DO NORTE;2605038,028;2402040,7;2637512,317;2509943,649;2475325,792;2344956,901;2449735,7;2504819,969;2513370,337;2544215,565;2526682,72;2694887,964;30208529,64
TERRA;b;1999;REGIAO NORDESTE;ALAGOAS;136765,6286;134086,1696;143338,4801;161880,84;154245,0106;147131,2355;147999,2293;143105,7571;137784,5779;141105,5975;148194,2134;150049,7074;1745686,447
TERRA;b;1999;REGIAO NORDESTE;SERGIPE;731819,3935;654341,5139;723422,4972;724158,4049;736307,8019;719522,815;741939,6978;746166,4501;723925,682;750820,9095;732699,9669;754632,5344;8739757,667
TERRA;b;1999;REGIAO NORDESTE;BAHIA;1533443,098;1364536,541;1506856,072;1434045,231;1456443,244;1399432,407;1422434,242;1409169,032;1392368,95;1424585,357;1383349,362;1437485,757;17164149,29
TERRA;b;1999;REGIAO SUDESTE;ESPIRITO SANTO;361305,5558;318232,937;329063,9898;300174,8924;355908,8989;299766,0548;309483,8112;322642,0938;307967,967;311188,3498;306533,8904;314534,5287;3836802,969
TERRA;b;2000;REGIAO NORTE;AMAZONAS;1360347,527;1259282,86;1370776,032;1333527,777;1348076,108;1346434,467;1387261,624;1245533,335;1169533,561;1347610,662;1302430,957;1301688,759;15772503,67
TERRA;b;2000;REGIAO NORDESTE;CEARA;69231,93867;63847,86131;62960,9981;66407,81398;73590,777;72659,88512;81471,90893;76106,701;69018,08513;71942,84678;66697,14524;74867,60843;848803,5697
TERRA;b;2000;REGIAO NORDESTE;RIO GRANDE DO NORTE;2531088,732;2258246,209;2341450,96;2215856,034;2230561,61;2249481,359;2355590,453;2331745,784;2189495,441;2250229,846;2139026,005;2247518,938;27340291,37
